race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
1,55,51,0,17,7.325959,3.318626,1,0,0
1,40,53,0,12,5.991465,2.302585,1,0,0
1,40,27,0,15,5.441422,1.752542,0,1,0
1,40,52,0,12,6.388393,2.699514,1,0,0
1,40,40,0,13,6.540034,2.851154,1,0,0
1,45,32,0,16,6.717708,2.911046,1,0,0
1,33,46,0,14,6.712166,3.215658,1,0,0
1,45,43,0,14,7.34254,3.535877,1,0,0
1,40,36,0,14,7.325959,3.637079,1,0,0
1,45,31,0,12,5.703783,1.89712,1,0,0
1,60,46,0,18,6.594099,2.499754,1,0,0
1,45,50,0,16,7.377759,3.571096,1,0,0
1,50,40,0,12,6.800259,2.888236,1,0,0
1,40,55,0,14,6.42224,2.733361,1,0,0
1,40,33,0,16,6.963842,3.274963,0,1,0
1,45,48,0,12,6.357704,2.551041,1,0,0
1,45,27,0,12,6.214608,2.407946,0,1,0
1,45,33,0,12,6.41634,2.609678,1,0,0
1,40,41,0,14,6.175389,2.48651,1,0,0
1,40,35,0,18,6.954715,3.265836,1,0,0
1,40,35,0,16,6.868536,3.179657,1,0,0
1,50,47,0,14,7.205004,3.292981,1,0,0
1,60,30,0,18,6.092011,1.997666,1,0,0
1,40,46,0,12,6.868536,3.179657,1,0,0
1,45,45,0,9,5.783825,1.977163,1,0,0
1,40,48,0,16,6.945494,3.256615,1,0,0
1,50,28,0,14,6.594099,2.682076,0,1,0
1,60,22,0,12,5.195343,1.100998,0,1,0
1,40,44,0,16,6.763169,3.074289,1,0,0
1,48,28,0,16,6.586172,2.714971,1,0,0
1,50,34,0,16,7.399166,3.487143,0,1,0
1,50,44,0,14,6.175389,2.263366,1,0,0
1,40,56,0,12,6.092011,2.014903,1,0,0
1,30,24,0,12,6.255424,2.197225,1,0,0
1,60,29,0,12,6.047561,1.953217,0,1,0
1,60,53,0,15,7.561673,3.467297,1,0,0
1,50,31,0,13,6.868536,2.956513,1,0,0
1,45,59,0,16,7.456322,3.649659,1,0,0
1,40,53,0,16,7.130899,3.218876,1,0,0
1,40,46,0,10,6.610507,2.525729,0,0,1
1,40,54,0,12,6.323803,2.634762,1,0,0
1,40,28,0,14,6.001043,2.302585,1,0,0
1,40,27,0,18,6.763169,3.07385,1,0,0
1,48,36,0,11,5.664557,2.140066,1,0,0
1,6,26,1,15,4.612642,1.504077,0,1,0
1,24,26,0,16,6.326829,2.406945,1,0,0
1,40,44,0,16,5.952256,2.788093,1,0,0
1,51,38,0,12,5.773713,1.974081,1,0,0
1,40,46,0,12,6.686722,3.48124,1,0,0
1,45,57,0,12,6.252347,2.447166,1,0,0
1,40,31,0,15,6.476973,2.788093,1,0,0
1,0,49,0,14,6.706434,3.101093,1,0,0
1,45,26,0,18,6.165733,1.938742,0,1,0
1,0,57,0,17,6.175389,2.833213,1,0,0
1,65,49,0,18,6.111423,1.937036,1,0,0
1,55,56,0,12,5.298317,1.386294,0,1,0
1,50,33,0,18,6.864524,2.833213,0,1,0
1,50,23,0,16,5.517613,2.302585,1,0,0
1,40,32,0,9,5.672533,2.066863,1,0,0
1,60,41,0,18,6.856462,2.629007,0,0,1
1,50,29,0,14,6.375451,2.561868,1,0,0
1,40,60,0,18,6.092011,2.420368,1,0,0
1,60,33,0,12,6.374241,2.511224,1,0,0
1,0,27,0,14,6.488734,2.74084,1,0,0
1,40,24,0,14,6.214608,2.452728,0,1,0
1,40,28,0,9,6.047561,2.302585,1,0,0
1,41,34,0,12,5.812995,2.079442,1,0,0
1,40,58,0,12,6.047561,2.302585,1,0,0
1,40,19,0,12,5.441422,1.754404,0,1,0
1,50,23,0,12,6.134569,2.224623,0,1,0
1,14,18,1,12,4.565909,1.609438,0,1,0
1,49,30,0,14,6.134569,2.251292,1,0,0
